model,threshold,num_agents,id_sim,efficiency,bounded_efficiency,inequality
FRA+Payoff+Attendance_downwards,0.4,5,c22c9e40-cae3-11f0-b9e2-d094662e0881,-0.1,-0.25000000000000006,0.06666666666666667
FRA+Payoff+Attendance_downwards,0.4,5,c2309d2e-cae3-11f0-b9e2-d094662e0881,-0.16666666666666666,-0.41666666666666674,0.08498365855987976
FRA+Payoff+Attendance_downwards,0.4,5,c234974e-cae3-11f0-b9e2-d094662e0881,-0.19333333333333333,-0.48333333333333345,0.0760116950066092
FRA+Payoff+Attendance_downwards,0.4,5,c2389236-cae3-11f0-b9e2-d094662e0881,-0.21333333333333335,-0.5333333333333334,0.06912147117775906
FRA+Payoff+Attendance_downwards,0.4,5,c23c9502-cae3-11f0-b9e2-d094662e0881,-0.12,-0.30000000000000004,0.06912147117775908
FRA+Payoff+Attendance_downwards,0.4,5,c240ae26-cae3-11f0-b9e2-d094662e0881,-0.16666666666666666,-0.41666666666666674,0.0816496580927726
FRA+Payoff+Attendance_downwards,0.4,5,c244fe22-cae3-11f0-b9e2-d094662e0881,-0.25333333333333335,-0.6333333333333335,0.06055300708194982
FRA+Payoff+Attendance_downwards,0.4,5,c2490d50-cae3-11f0-b9e2-d094662e0881,-0.22666666666666666,-0.5666666666666668,0.12110601416389966
FRA+Payoff+Attendance_downwards,0.4,5,c24d1102-cae3-11f0-b9e2-d094662e0881,-0.22,-0.5500000000000002,0.0649786289653931
FRA+Payoff+Attendance_downwards,0.4,5,c2511270-cae3-11f0-b9e2-d094662e0881,-0.4533333333333333,-1.1333333333333335,0.10954451150103323
FRA+Payoff+Attendance_downwards,0.4,5,c25510e6-cae3-11f0-b9e2-d094662e0881,-0.3,-0.7500000000000001,0.12692955176439846
FRA+Payoff+Attendance_downwards,0.4,5,c25918d0-cae3-11f0-b9e2-d094662e0881,-0.3,-0.7500000000000001,0.08498365855987974
