model,threshold,num_agents,id_sim,efficiency,bounded_efficiency,inequality,bounded_inequality
FRA+Payoff+Attendance_downwards,0.5,4,e7c95b0a-d3cd-11f0-bcd4-d094662e0881,-0.14166666666666666,-0.2833333333333333,0.17293758240303755,0.3458751648060751
FRA+Payoff+Attendance_downwards,0.5,4,e7cef042-d3cd-11f0-bcd4-d094662e0881,0.10833333333333334,0.21666666666666667,0.06871842709362769,0.13743685418725538
FRA+Payoff+Attendance_downwards,0.5,4,e7d4808e-d3cd-11f0-bcd4-d094662e0881,0.125,0.25,0.0569275042553311,0.1138550085106622
FRA+Payoff+Attendance_downwards,0.5,4,e7da03e2-d3cd-11f0-bcd4-d094662e0881,-0.225,-0.45,0.09953596037316063,0.19907192074632127
FRA+Payoff+Attendance_downwards,0.5,4,e7df7eb2-d3cd-11f0-bcd4-d094662e0881,-0.041666666666666664,-0.08333333333333333,0.06871842709362769,0.13743685418725538
FRA+Payoff+Attendance_downwards,0.5,4,e7e4f162-d3cd-11f0-bcd4-d094662e0881,-0.25833333333333336,-0.5166666666666667,0.06309898162000305,0.1261979632400061
FRA+Payoff+Attendance_downwards,0.5,4,e7ea6804-d3cd-11f0-bcd4-d094662e0881,-0.24166666666666667,-0.48333333333333334,0.06871842709362767,0.13743685418725535
FRA+Payoff+Attendance_downwards,0.5,4,e7efdfd2-d3cd-11f0-bcd4-d094662e0881,-0.06666666666666667,-0.13333333333333333,0.08606629658238704,0.17213259316477408
FRA+Payoff+Attendance_downwards,0.5,4,e7f55e26-d3cd-11f0-bcd4-d094662e0881,0.1,0.2,0.04714045207910317,0.09428090415820634
FRA+Payoff+Attendance_downwards,0.5,4,e7fadc66-d3cd-11f0-bcd4-d094662e0881,0.0,0.0,0.06085806194501846,0.12171612389003691
FRA+Payoff+Attendance_downwards,0.5,4,e8005d44-d3cd-11f0-bcd4-d094662e0881,0.11666666666666667,0.23333333333333334,0.08819171036881969,0.17638342073763938
FRA+Payoff+Attendance_downwards,0.5,4,e805d3f0-d3cd-11f0-bcd4-d094662e0881,-0.075,-0.15,0.0957427107756338,0.1914854215512676
FRA+Payoff+Attendance_downwards,0.5,4,e80b5582-d3cd-11f0-bcd4-d094662e0881,0.008333333333333333,0.016666666666666666,0.11013459778666115,0.2202691955733223
FRA+Payoff+Attendance_downwards,0.5,4,e810d584-d3cd-11f0-bcd4-d094662e0881,-0.025,-0.05,0.13158576980363346,0.2631715396072669
FRA+Payoff+Attendance_downwards,0.5,4,e81655a4-d3cd-11f0-bcd4-d094662e0881,0.125,0.25,0.11013459778666115,0.2202691955733223
FRA+Payoff+Attendance_downwards,0.5,4,e81bde48-d3cd-11f0-bcd4-d094662e0881,-0.041666666666666664,-0.08333333333333333,0.06871842709362767,0.13743685418725535
FRA+Payoff+Attendance_downwards,0.5,4,e8214edc-d3cd-11f0-bcd4-d094662e0881,0.16666666666666666,0.3333333333333333,0.09026709338484401,0.18053418676968802
FRA+Payoff+Attendance_downwards,0.5,4,e826ca7e-d3cd-11f0-bcd4-d094662e0881,-0.10833333333333334,-0.21666666666666667,0.041943524640393054,0.08388704928078611
FRA+Payoff+Attendance_downwards,0.5,4,e82c5340-d3cd-11f0-bcd4-d094662e0881,0.016666666666666666,0.03333333333333333,0.07934920476158722,0.15869840952317443
FRA+Payoff+Attendance_downwards,0.6,5,f5a22c7a-d3cd-11f0-bcd4-d094662e0881,0.17333333333333334,0.2888888888888889,0.04346134936801766,0.07243558228002943
FRA+Payoff+Attendance_downwards,0.6,5,f5a850e6-d3cd-11f0-bcd4-d094662e0881,0.16,0.26666666666666666,0.1064581294844754,0.17743021580745905
FRA+Payoff+Attendance_downwards,0.6,5,f5aed86c-d3cd-11f0-bcd4-d094662e0881,0.29333333333333333,0.48888888888888893,0.054772255750516606,0.09128709291752765
FRA+Payoff+Attendance_downwards,0.6,5,f5b51f2e-d3cd-11f0-bcd4-d094662e0881,0.03333333333333333,0.05555555555555556,0.09718253158075502,0.16197088596792503
FRA+Payoff+Attendance_downwards,0.6,5,f5bb4336-d3cd-11f0-bcd4-d094662e0881,0.08,0.13333333333333333,0.08692269873603532,0.14487116456005886
FRA+Payoff+Attendance_downwards,0.6,5,f5c18692-d3cd-11f0-bcd4-d094662e0881,0.07333333333333333,0.12222222222222223,0.08299933065325822,0.1383322177554304
FRA+Payoff+Attendance_downwards,0.6,5,f5c7b1ac-d3cd-11f0-bcd4-d094662e0881,0.04,0.06666666666666667,0.08299933065325822,0.13833221775543036
