model,threshold,num_agents,id_sim,efficiency,bounded_efficiency,inequality
FRA+Payoff+Attendance_upwards,0.5,4,67839b72-a466-11f0-be40-d094662e0881,0.025,0.05,0.15485955405295948
FRA+Payoff+Attendance_upwards,0.5,4,6787358e-a466-11f0-be40-d094662e0881,-0.30833333333333335,-0.6166666666666667,0.11979921473804347
FRA+Payoff+Attendance_upwards,0.5,6,69e4cf9e-a466-11f0-be40-d094662e0881,-0.07222222222222222,-0.14444444444444443,0.08277591347639633
FRA+Payoff+Attendance_upwards,0.5,6,69eacb24-a466-11f0-be40-d094662e0881,-0.011111111111111112,-0.022222222222222223,0.02721655269759087
FRA+Payoff+Attendance_upwards,0.5,12,691aab7e-a466-11f0-be40-d094662e0881,-0.022222222222222223,-0.044444444444444446,0.06409168516854669
FRA+Payoff+Attendance_upwards,0.5555555555555556,9,695a98c4-a466-11f0-be40-d094662e0881,0.0962962962962963,0.17333333333333334,0.1241017105760482
FRA+Payoff+Attendance_upwards,0.6,5,6889ba56-a466-11f0-be40-d094662e0881,0.14,0.23333333333333336,0.0760116950066092
FRA+Payoff+Attendance_upwards,0.6,5,688e13b2-a466-11f0-be40-d094662e0881,-0.05333333333333334,-0.08888888888888889,0.06055300708194983
FRA+Payoff+Attendance_upwards,0.625,8,67ed2f06-a466-11f0-be40-d094662e0881,0.2125,0.33999999999999997,0.08533314732122584
FRA+Payoff+Attendance_upwards,0.6363636363636364,11,6895dd36-a466-11f0-be40-d094662e0881,0.39090909090909093,0.6142857142857143,0.1256900147107152
FRA+Payoff+Attendance_upwards,0.6666666666666666,3,68e837a2-a466-11f0-be40-d094662e0881,0.21481481481481482,0.32222222222222235,0.32151902835867713
FRA+Payoff+Attendance_upwards,0.6666666666666666,3,68f14748-a466-11f0-be40-d094662e0881,0.15555555555555556,0.23333333333333342,0.16777409856157222
FRA+Payoff+Attendance_upwards,0.6666666666666666,3,68fa6058-a466-11f0-be40-d094662e0881,0.22962962962962963,0.34444444444444455,0.033945005147821034
FRA+Payoff+Attendance_upwards,0.6666666666666666,3,690388fe-a466-11f0-be40-d094662e0881,0.08888888888888889,0.1333333333333334,0.06666666666666667
FRA+Payoff+Attendance_upwards,0.6666666666666666,3,690cf9de-a466-11f0-be40-d094662e0881,0.25925925925925924,0.388888888888889,0.3192068359468925
FRA+Payoff+Attendance_upwards,0.6666666666666666,6,69b32ebc-a466-11f0-be40-d094662e0881,0.20555555555555555,0.30833333333333335,0.11434191739722607
FRA+Payoff+Attendance_upwards,0.6666666666666666,6,69bce524-a466-11f0-be40-d094662e0881,0.25555555555555554,0.3833333333333333,0.07793634629666747
FRA+Payoff+Attendance_upwards,0.7142857142857143,7,697d1a5c-a466-11f0-be40-d094662e0881,0.22857142857142856,0.32,0.10261140545329514
FRA+Payoff+Attendance_upwards,0.7142857142857143,7,6982fda0-a466-11f0-be40-d094662e0881,0.3380952380952381,0.47333333333333344,0.11930131697849873
FRA+Payoff+Attendance_upwards,0.75,4,678e24d4-a466-11f0-be40-d094662e0881,0.38333333333333336,0.5111111111111112,0.16887426837300737
FRA+Payoff+Attendance_upwards,0.75,4,679b9ad8-a466-11f0-be40-d094662e0881,0.48333333333333334,0.6444444444444445,0.11055415967851331
FRA+Payoff+Attendance_upwards,0.75,4,67a92e5a-a466-11f0-be40-d094662e0881,0.15,0.19999999999999998,0.11706281947614154
FRA+Payoff+Attendance_upwards,0.75,4,67b6ca2e-a466-11f0-be40-d094662e0881,0.225,0.3,0.17293758240303755
FRA+Payoff+Attendance_upwards,0.75,4,67c470fc-a466-11f0-be40-d094662e0881,0.3333333333333333,0.4444444444444444,0.16777409856157222
FRA+Payoff+Attendance_upwards,0.75,4,67d22670-a466-11f0-be40-d094662e0881,0.4,0.5333333333333333,0.1515353521887317
FRA+Payoff+Attendance_upwards,0.75,12,694d687a-a466-11f0-be40-d094662e0881,0.5416666666666666,0.7222222222222222,0.15316525702520123
FRA+Payoff+Attendance_upwards,0.7777777777777778,9,687f8932-a466-11f0-be40-d094662e0881,0.44814814814814813,0.576190476190476,0.13344902388293683
FRA+Payoff+Attendance_upwards,0.8,5,69a5fbac-a466-11f0-be40-d094662e0881,0.47333333333333333,0.5916666666666668,0.19206480387850575
FRA+Payoff+Attendance_upwards,0.8,5,69aa6188-a466-11f0-be40-d094662e0881,0.42,0.5250000000000001,0.1120515754264774
FRA+Payoff+Attendance_upwards,0.875,8,67f7ec48-a466-11f0-be40-d094662e0881,0.45,0.5142857142857143,0.11547005383792514
FRA+Payoff+Attendance_upwards,1.0,7,68a25228-a466-11f0-be40-d094662e0881,0.7142857142857143,0.7142857142857143,0.1425393290199597
FRA+Payoff+Attendance_upwards,1.0,7,68bd08b6-a466-11f0-be40-d094662e0881,0.7095238095238096,0.7095238095238096,0.13012000972647111
