,index,treatment,threshold,round,player,decision,score,timeup,time,room,date,num_players,group,choice
97,97,downwards,0.109375,13.0,586994455133371,1.0,1.0,0.0,2224.0,7,12-13-2023,8,7,1.0
98,98,downwards,0.109375,13.0,810776187068695,1.0,1.0,0.0,1277.0,7,12-13-2023,8,7,1.0
99,99,downwards,0.109375,13.0,776347950518335,1.0,1.0,0.0,1114.0,7,12-13-2023,8,7,1.0
100,100,downwards,0.109375,13.0,754052083594053,1.0,1.0,0.0,2695.0,7,12-13-2023,8,7,1.0
101,101,downwards,0.109375,13.0,644915145220339,0.0,0.0,0.0,1477.0,7,12-13-2023,8,7,0.0
102,102,downwards,0.109375,13.0,245554916079783,1.0,1.0,0.0,1249.0,7,12-13-2023,8,7,1.0
103,103,downwards,0.109375,13.0,620856434907686,1.0,1.0,0.0,992.0,7,12-13-2023,8,7,1.0
104,104,downwards,0.109375,14.0,589037721408239,1.0,1.0,0.0,551.0,7,12-13-2023,8,7,1.0
105,105,downwards,0.109375,14.0,586994455133371,0.0,0.0,0.0,1569.0,7,12-13-2023,8,7,0.0
106,106,downwards,0.109375,14.0,810776187068695,1.0,1.0,0.0,1550.0,7,12-13-2023,8,7,1.0
107,107,downwards,0.109375,14.0,776347950518335,1.0,1.0,0.0,1176.0,7,12-13-2023,8,7,1.0
108,108,downwards,0.109375,14.0,754052083594053,1.0,1.0,0.0,1147.0,7,12-13-2023,8,7,1.0
109,109,downwards,0.109375,14.0,644915145220339,1.0,1.0,0.0,1005.0,7,12-13-2023,8,7,1.0
110,110,downwards,0.109375,14.0,245554916079783,1.0,1.0,0.0,2370.0,7,12-13-2023,8,7,1.0
111,111,downwards,0.109375,14.0,620856434907686,1.0,1.0,0.0,1049.0,7,12-13-2023,8,7,1.0
112,112,downwards,0.109375,15.0,589037721408239,1.0,1.0,0.0,800.0,7,12-13-2023,8,7,1.0
113,113,downwards,0.109375,15.0,586994455133371,0.0,0.0,0.0,2832.0,7,12-13-2023,8,7,0.0
114,114,downwards,0.109375,15.0,810776187068695,1.0,1.0,0.0,1334.0,7,12-13-2023,8,7,1.0
115,115,downwards,0.109375,15.0,776347950518335,1.0,1.0,0.0,2119.0,7,12-13-2023,8,7,1.0
116,116,downwards,0.109375,15.0,754052083594053,0.0,0.0,0.0,1732.0,7,12-13-2023,8,7,0.0
117,117,downwards,0.109375,15.0,644915145220339,0.0,0.0,0.0,1098.0,7,12-13-2023,8,7,0.0
118,118,downwards,0.109375,15.0,245554916079783,1.0,1.0,0.0,1032.0,7,12-13-2023,8,7,1.0
119,119,downwards,0.109375,15.0,620856434907686,1.0,1.0,0.0,1618.0,7,12-13-2023,8,7,1.0
120,120,downwards,0.109375,16.0,589037721408239,1.0,1.0,0.0,458.0,7,12-13-2023,8,7,1.0
121,121,downwards,0.109375,16.0,586994455133371,1.0,1.0,0.0,1787.0,7,12-13-2023,8,7,1.0
122,122,downwards,0.109375,16.0,810776187068695,1.0,1.0,0.0,2110.0,7,12-13-2023,8,7,1.0
123,123,downwards,0.109375,16.0,776347950518335,0.0,0.0,0.0,1280.0,7,12-13-2023,8,7,0.0
124,124,downwards,0.109375,16.0,754052083594053,1.0,1.0,0.0,837.0,7,12-13-2023,8,7,1.0
125,125,downwards,0.109375,16.0,644915145220339,1.0,1.0,0.0,1288.0,7,12-13-2023,8,7,1.0
126,126,downwards,0.109375,16.0,245554916079783,1.0,1.0,0.0,2583.0,7,12-13-2023,8,7,1.0
127,127,downwards,0.109375,16.0,620856434907686,0.0,0.0,0.0,1306.0,7,12-13-2023,8,7,0.0
128,128,downwards,0.109375,17.0,589037721408239,1.0,1.0,0.0,586.0,7,12-13-2023,8,7,1.0
129,129,downwards,0.109375,17.0,586994455133371,1.0,1.0,0.0,1682.0,7,12-13-2023,8,7,1.0
130,130,downwards,0.109375,17.0,810776187068695,1.0,1.0,0.0,3814.0,7,12-13-2023,8,7,1.0
131,131,downwards,0.109375,17.0,776347950518335,1.0,1.0,0.0,1100.0,7,12-13-2023,8,7,1.0
132,132,downwards,0.109375,17.0,754052083594053,1.0,1.0,0.0,1236.0,7,12-13-2023,8,7,1.0
133,133,downwards,0.109375,17.0,644915145220339,1.0,1.0,0.0,1726.0,7,12-13-2023,8,7,1.0
134,134,downwards,0.109375,17.0,245554916079783,1.0,1.0,0.0,3003.0,7,12-13-2023,8,7,1.0
135,135,downwards,0.109375,17.0,620856434907686,0.0,0.0,0.0,1370.0,7,12-13-2023,8,7,0.0
136,136,downwards,0.109375,18.0,589037721408239,1.0,1.0,0.0,838.0,7,12-13-2023,8,7,1.0
137,137,downwards,0.109375,18.0,586994455133371,0.0,0.0,0.0,1453.0,7,12-13-2023,8,7,0.0
138,138,downwards,0.109375,18.0,810776187068695,1.0,1.0,0.0,3864.0,7,12-13-2023,8,7,1.0
139,139,downwards,0.109375,18.0,776347950518335,0.0,0.0,0.0,2269.0,7,12-13-2023,8,7,0.0
140,140,downwards,0.109375,18.0,754052083594053,0.0,0.0,0.0,2151.0,7,12-13-2023,8,7,0.0
141,141,downwards,0.109375,18.0,644915145220339,0.0,0.0,0.0,1079.0,7,12-13-2023,8,7,0.0
142,142,downwards,0.109375,18.0,245554916079783,1.0,1.0,0.0,1987.0,7,12-13-2023,8,7,1.0
143,143,downwards,0.109375,18.0,620856434907686,0.0,0.0,0.0,1258.0,7,12-13-2023,8,7,0.0
144,144,downwards,0.109375,19.0,589037721408239,1.0,-1.0,0.0,621.0,7,12-13-2023,8,7,1.0
145,145,downwards,0.109375,19.0,586994455133371,1.0,-1.0,0.0,1743.0,7,12-13-2023,8,7,1.0
146,146,downwards,0.109375,19.0,810776187068695,1.0,-1.0,0.0,1685.0,7,12-13-2023,8,7,1.0
147,147,downwards,0.109375,19.0,776347950518335,1.0,-1.0,0.0,1419.0,7,12-13-2023,8,7,1.0
148,148,downwards,0.109375,19.0,754052083594053,1.0,-1.0,0.0,1439.0,7,12-13-2023,8,7,1.0
149,149,downwards,0.109375,19.0,644915145220339,1.0,-1.0,0.0,1314.0,7,12-13-2023,8,7,1.0
150,150,downwards,0.109375,19.0,245554916079783,1.0,-1.0,0.0,2179.0,7,12-13-2023,8,7,1.0
151,151,downwards,0.109375,19.0,620856434907686,1.0,-1.0,0.0,1323.0,7,12-13-2023,8,7,1.0
152,152,downwards,0.109375,20.0,589037721408239,1.0,1.0,0.0,780.0,7,12-13-2023,8,7,1.0
153,153,downwards,0.109375,20.0,586994455133371,1.0,1.0,0.0,2461.0,7,12-13-2023,8,7,1.0
154,154,downwards,0.109375,20.0,810776187068695,1.0,1.0,0.0,983.0,7,12-13-2023,8,7,1.0
155,155,downwards,0.109375,20.0,776347950518335,0.0,0.0,0.0,1847.0,7,12-13-2023,8,7,0.0
156,156,downwards,0.109375,20.0,754052083594053,1.0,1.0,0.0,1670.0,7,12-13-2023,8,7,1.0
157,157,downwards,0.109375,20.0,644915145220339,1.0,1.0,0.0,1342.0,7,12-13-2023,8,7,1.0
158,158,downwards,0.109375,20.0,245554916079783,1.0,1.0,0.0,2210.0,7,12-13-2023,8,7,1.0
159,159,downwards,0.109375,20.0,620856434907686,0.0,0.0,0.0,1316.0,7,12-13-2023,8,7,0.0
160,160,downwards,0.109375,21.0,589037721408239,1.0,1.0,0.0,599.0,7,12-13-2023,8,7,1.0
161,161,downwards,0.109375,21.0,586994455133371,1.0,1.0,0.0,1378.0,7,12-13-2023,8,7,1.0
162,162,downwards,0.109375,21.0,810776187068695,1.0,1.0,0.0,1605.0,7,12-13-2023,8,7,1.0
163,163,downwards,0.109375,21.0,776347950518335,1.0,1.0,0.0,1567.0,7,12-13-2023,8,7,1.0
164,164,downwards,0.109375,21.0,754052083594053,1.0,1.0,0.0,1512.0,7,12-13-2023,8,7,1.0
165,165,downwards,0.109375,21.0,644915145220339,0.0,0.0,0.0,1400.0,7,12-13-2023,8,7,0.0
166,166,downwards,0.109375,21.0,245554916079783,1.0,1.0,0.0,1725.0,7,12-13-2023,8,7,1.0
167,167,downwards,0.109375,21.0,620856434907686,0.0,0.0,0.0,841.0,7,12-13-2023,8,7,0.0
168,168,downwards,0.109375,22.0,589037721408239,1.0,1.0,0.0,528.0,7,12-13-2023,8,7,1.0
169,169,downwards,0.109375,22.0,586994455133371,1.0,1.0,0.0,1337.0,7,12-13-2023,8,7,1.0
170,170,downwards,0.109375,22.0,810776187068695,1.0,1.0,0.0,2137.0,7,12-13-2023,8,7,1.0
171,171,downwards,0.109375,22.0,776347950518335,0.0,0.0,0.0,1542.0,7,12-13-2023,8,7,0.0
172,172,downwards,0.109375,22.0,754052083594053,0.0,0.0,0.0,1705.0,7,12-13-2023,8,7,0.0
173,173,downwards,0.109375,22.0,644915145220339,1.0,1.0,0.0,1485.0,7,12-13-2023,8,7,1.0
174,174,downwards,0.109375,22.0,245554916079783,1.0,1.0,0.0,3155.0,7,12-13-2023,8,7,1.0
175,175,downwards,0.109375,22.0,620856434907686,0.0,0.0,0.0,1560.0,7,12-13-2023,8,7,0.0
176,176,downwards,0.109375,23.0,589037721408239,1.0,-1.0,0.0,697.0,7,12-13-2023,8,7,1.0
177,177,downwards,0.109375,23.0,586994455133371,1.0,-1.0,0.0,1200.0,7,12-13-2023,8,7,1.0
178,178,downwards,0.109375,23.0,810776187068695,1.0,-1.0,0.0,1341.0,7,12-13-2023,8,7,1.0
179,179,downwards,0.109375,23.0,776347950518335,1.0,-1.0,0.0,1432.0,7,12-13-2023,8,7,1.0
180,180,downwards,0.109375,23.0,754052083594053,1.0,-1.0,0.0,1982.0,7,12-13-2023,8,7,1.0
181,181,downwards,0.109375,23.0,644915145220339,1.0,-1.0,0.0,3418.0,7,12-13-2023,8,7,1.0
182,182,downwards,0.109375,23.0,245554916079783,1.0,-1.0,0.0,2117.0,7,12-13-2023,8,7,1.0
183,183,downwards,0.109375,23.0,620856434907686,1.0,-1.0,0.0,2989.0,7,12-13-2023,8,7,1.0
184,184,downwards,0.109375,24.0,589037721408239,1.0,1.0,0.0,679.0,7,12-13-2023,8,7,1.0
185,185,downwards,0.109375,24.0,586994455133371,1.0,1.0,0.0,1614.0,7,12-13-2023,8,7,1.0
186,186,downwards,0.109375,24.0,810776187068695,1.0,1.0,0.0,1484.0,7,12-13-2023,8,7,1.0
187,187,downwards,0.109375,24.0,776347950518335,0.0,0.0,0.0,1431.0,7,12-13-2023,8,7,0.0
188,188,downwards,0.109375,24.0,754052083594053,1.0,1.0,0.0,2187.0,7,12-13-2023,8,7,1.0
189,189,downwards,0.109375,24.0,644915145220339,1.0,1.0,0.0,1027.0,7,12-13-2023,8,7,1.0
190,190,downwards,0.109375,24.0,245554916079783,1.0,1.0,0.0,1438.0,7,12-13-2023,8,7,1.0
191,191,downwards,0.109375,24.0,620856434907686,0.0,0.0,0.0,804.0,7,12-13-2023,8,7,0.0
192,192,downwards,0.109375,25.0,589037721408239,1.0,1.0,0.0,544.0,7,12-13-2023,8,7,1.0
193,193,downwards,0.109375,25.0,586994455133371,0.0,0.0,0.0,1543.0,7,12-13-2023,8,7,0.0
194,194,downwards,0.109375,25.0,810776187068695,1.0,1.0,0.0,1296.0,7,12-13-2023,8,7,1.0
195,195,downwards,0.109375,25.0,776347950518335,1.0,1.0,0.0,2634.0,7,12-13-2023,8,7,1.0
196,196,downwards,0.109375,25.0,754052083594053,1.0,1.0,0.0,1262.0,7,12-13-2023,8,7,1.0
197,197,downwards,0.109375,25.0,644915145220339,0.0,0.0,0.0,1208.0,7,12-13-2023,8,7,0.0
198,198,downwards,0.109375,25.0,245554916079783,1.0,1.0,0.0,2376.0,7,12-13-2023,8,7,1.0
199,199,downwards,0.109375,25.0,620856434907686,0.0,0.0,0.0,1390.0,7,12-13-2023,8,7,0.0
200,200,downwards,0.109375,26.0,589037721408239,1.0,1.0,0.0,551.0,7,12-13-2023,8,7,1.0
201,201,downwards,0.109375,26.0,586994455133371,0.0,0.0,0.0,1422.0,7,12-13-2023,8,7,0.0
202,202,downwards,0.109375,26.0,810776187068695,0.0,0.0,0.0,1378.0,7,12-13-2023,8,7,0.0
203,203,downwards,0.109375,26.0,776347950518335,0.0,0.0,0.0,1473.0,7,12-13-2023,8,7,0.0
204,204,downwards,0.109375,26.0,754052083594053,1.0,1.0,0.0,1650.0,7,12-13-2023,8,7,1.0
205,205,downwards,0.109375,26.0,644915145220339,1.0,1.0,0.0,1225.0,7,12-13-2023,8,7,1.0
206,206,downwards,0.109375,26.0,245554916079783,1.0,1.0,0.0,1274.0,7,12-13-2023,8,7,1.0
207,207,downwards,0.109375,26.0,620856434907686,0.0,0.0,0.0,784.0,7,12-13-2023,8,7,0.0
208,208,downwards,0.109375,27.0,589037721408239,1.0,1.0,0.0,566.0,7,12-13-2023,8,7,1.0
209,209,downwards,0.109375,27.0,586994455133371,1.0,1.0,0.0,1199.0,7,12-13-2023,8,7,1.0
210,210,downwards,0.109375,27.0,810776187068695,1.0,1.0,0.0,1554.0,7,12-13-2023,8,7,1.0
211,211,downwards,0.109375,27.0,776347950518335,1.0,1.0,0.0,2627.0,7,12-13-2023,8,7,1.0
212,212,downwards,0.109375,27.0,754052083594053,0.0,0.0,0.0,1459.0,7,12-13-2023,8,7,0.0
213,213,downwards,0.109375,27.0,644915145220339,0.0,0.0,0.0,1214.0,7,12-13-2023,8,7,0.0
214,214,downwards,0.109375,27.0,245554916079783,1.0,1.0,0.0,2302.0,7,12-13-2023,8,7,1.0
215,215,downwards,0.109375,27.0,620856434907686,1.0,1.0,0.0,983.0,7,12-13-2023,8,7,1.0
216,216,downwards,0.109375,28.0,589037721408239,1.0,1.0,0.0,625.0,7,12-13-2023,8,7,1.0
217,217,downwards,0.109375,28.0,586994455133371,0.0,0.0,0.0,1996.0,7,12-13-2023,8,7,0.0
218,218,downwards,0.109375,28.0,810776187068695,1.0,1.0,0.0,1959.0,7,12-13-2023,8,7,1.0
219,219,downwards,0.109375,28.0,776347950518335,0.0,0.0,0.0,1075.0,7,12-13-2023,8,7,0.0
220,220,downwards,0.109375,28.0,754052083594053,1.0,1.0,0.0,1463.0,7,12-13-2023,8,7,1.0
221,221,downwards,0.109375,28.0,644915145220339,1.0,1.0,0.0,1340.0,7,12-13-2023,8,7,1.0
222,222,downwards,0.109375,28.0,245554916079783,1.0,1.0,0.0,1470.0,7,12-13-2023,8,7,1.0
223,223,downwards,0.109375,28.0,620856434907686,1.0,1.0,0.0,1088.0,7,12-13-2023,8,7,1.0
224,224,downwards,0.109375,29.0,589037721408239,1.0,1.0,0.0,471.0,7,12-13-2023,8,7,1.0
225,225,downwards,0.109375,29.0,586994455133371,1.0,1.0,0.0,1358.0,7,12-13-2023,8,7,1.0
226,226,downwards,0.109375,29.0,810776187068695,1.0,1.0,0.0,2323.0,7,12-13-2023,8,7,1.0
227,227,downwards,0.109375,29.0,776347950518335,1.0,1.0,0.0,1484.0,7,12-13-2023,8,7,1.0
228,228,downwards,0.109375,29.0,754052083594053,1.0,1.0,0.0,1850.0,7,12-13-2023,8,7,1.0
229,229,downwards,0.109375,29.0,644915145220339,0.0,0.0,0.0,1073.0,7,12-13-2023,8,7,0.0
230,230,downwards,0.109375,29.0,245554916079783,1.0,1.0,0.0,1515.0,7,12-13-2023,8,7,1.0
231,231,downwards,0.109375,29.0,620856434907686,1.0,1.0,0.0,1120.0,7,12-13-2023,8,7,1.0
232,232,downwards,0.109375,30.0,589037721408239,1.0,1.0,0.0,542.0,7,12-13-2023,8,7,1.0
233,233,downwards,0.109375,30.0,586994455133371,1.0,1.0,0.0,2247.0,7,12-13-2023,8,7,1.0
234,234,downwards,0.109375,30.0,810776187068695,1.0,1.0,0.0,1455.0,7,12-13-2023,8,7,1.0
235,235,downwards,0.109375,30.0,776347950518335,0.0,0.0,0.0,2115.0,7,12-13-2023,8,7,0.0
236,236,downwards,0.109375,30.0,754052083594053,1.0,1.0,0.0,1187.0,7,12-13-2023,8,7,1.0
237,237,downwards,0.109375,30.0,644915145220339,1.0,1.0,0.0,941.0,7,12-13-2023,8,7,1.0
238,238,downwards,0.109375,30.0,245554916079783,1.0,1.0,0.0,2858.0,7,12-13-2023,8,7,1.0
239,239,downwards,0.109375,30.0,620856434907686,0.0,0.0,0.0,1412.0,7,12-13-2023,8,7,0.0
240,720,downwards,0.109375,1.0,312023415382283,1.0,1.0,0.0,3276.0,11,12-13-2023,8,11,1.0
241,721,downwards,0.109375,1.0,608233835868441,1.0,1.0,0.0,4766.0,11,12-13-2023,8,11,1.0
242,722,downwards,0.109375,1.0,915820846225480,1.0,1.0,0.0,8107.0,11,12-13-2023,8,11,1.0
