,treatment,threshold,round,session,player,decision,score,num_players,group,choice,approx_threshold,absolute_round
9002,upwards,0.25,23,1,841658927890285,0.0,0.0,4,5,0.0,0.25,24.0
9003,upwards,0.25,23,1,373455036275630,1.0,-1.0,4,5,1.0,0.25,24.0
9004,upwards,0.25,23,1,477327368780915,0.0,0.0,4,5,0.0,0.25,24.0
9005,upwards,0.25,23,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,24.0
9006,upwards,0.25,24,1,841658927890285,1.0,-1.0,4,5,1.0,0.25,25.0
9007,upwards,0.25,24,1,373455036275630,0.0,0.0,4,5,0.0,0.25,25.0
9008,upwards,0.25,24,1,477327368780915,0.0,0.0,4,5,0.0,0.25,25.0
9009,upwards,0.25,24,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,25.0
9010,upwards,0.25,25,1,841658927890285,0.0,0.0,4,5,0.0,0.25,26.0
9011,upwards,0.25,25,1,373455036275630,0.0,0.0,4,5,0.0,0.25,26.0
9012,upwards,0.25,25,1,477327368780915,0.0,0.0,4,5,0.0,0.25,26.0
9013,upwards,0.25,25,1,616876846241757,0.0,0.0,4,5,0.0,0.25,26.0
9014,upwards,0.25,26,1,841658927890285,1.0,-1.0,4,5,1.0,0.25,27.0
9015,upwards,0.25,26,1,373455036275630,1.0,-1.0,4,5,1.0,0.25,27.0
9016,upwards,0.25,26,1,477327368780915,0.0,0.0,4,5,0.0,0.25,27.0
9017,upwards,0.25,26,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,27.0
9018,upwards,0.25,27,1,841658927890285,0.0,0.0,4,5,0.0,0.25,28.0
9019,upwards,0.25,27,1,373455036275630,1.0,1.0,4,5,1.0,0.25,28.0
9020,upwards,0.25,27,1,477327368780915,0.0,0.0,4,5,0.0,0.25,28.0
9021,upwards,0.25,27,1,616876846241757,0.0,0.0,4,5,0.0,0.25,28.0
9022,upwards,0.25,28,1,841658927890285,0.0,0.0,4,5,0.0,0.25,29.0
9023,upwards,0.25,28,1,373455036275630,0.0,0.0,4,5,0.0,0.25,29.0
9024,upwards,0.25,28,1,477327368780915,0.0,0.0,4,5,0.0,0.25,29.0
9025,upwards,0.25,28,1,616876846241757,1.0,1.0,4,5,1.0,0.25,29.0
9026,upwards,0.25,29,1,841658927890285,0.0,0.0,4,5,0.0,0.25,30.0
9027,upwards,0.25,29,1,373455036275630,0.0,0.0,4,5,0.0,0.25,30.0
9028,upwards,0.25,29,1,477327368780915,1.0,-1.0,4,5,1.0,0.25,30.0
9029,upwards,0.25,29,1,616876846241757,1.0,-1.0,4,5,1.0,0.25,30.0
9030,upwards,0.5,0,2,841658927890285,1.0,1.0,4,5,1.0,0.5,31.0
9031,upwards,0.5,0,2,373455036275630,0.0,0.0,4,5,0.0,0.5,31.0
9032,upwards,0.5,0,2,477327368780915,0.0,0.0,4,5,0.0,0.5,31.0
9033,upwards,0.5,0,2,616876846241757,1.0,1.0,4,5,1.0,0.5,31.0
9034,upwards,0.5,1,2,841658927890285,1.0,-1.0,4,5,1.0,0.5,32.0
9035,upwards,0.5,1,2,373455036275630,1.0,-1.0,4,5,1.0,0.5,32.0
9036,upwards,0.5,1,2,477327368780915,1.0,-1.0,4,5,1.0,0.5,32.0
9037,upwards,0.5,1,2,616876846241757,0.0,0.0,4,5,0.0,0.5,32.0
9038,upwards,0.5,2,2,841658927890285,0.0,0.0,4,5,0.0,0.5,33.0
9039,upwards,0.5,2,2,373455036275630,1.0,-1.0,4,5,1.0,0.5,33.0
9040,upwards,0.5,2,2,477327368780915,1.0,-1.0,4,5,1.0,0.5,33.0
9041,upwards,0.5,2,2,616876846241757,1.0,-1.0,4,5,1.0,0.5,33.0
9042,upwards,0.5,3,2,841658927890285,0.0,0.0,4,5,0.0,0.5,34.0
9043,upwards,0.5,3,2,373455036275630,1.0,1.0,4,5,1.0,0.5,34.0
9044,upwards,0.5,3,2,477327368780915,0.0,0.0,4,5,0.0,0.5,34.0
9045,upwards,0.5,3,2,616876846241757,0.0,0.0,4,5,0.0,0.5,34.0
9046,upwards,0.5,4,2,841658927890285,1.0,-1.0,4,5,1.0,0.5,35.0
9047,upwards,0.5,4,2,373455036275630,1.0,-1.0,4,5,1.0,0.5,35.0
9048,upwards,0.5,4,2,477327368780915,1.0,-1.0,4,5,1.0,0.5,35.0
9049,upwards,0.5,4,2,616876846241757,1.0,-1.0,4,5,1.0,0.5,35.0
9050,upwards,0.5,5,2,841658927890285,0.0,0.0,4,5,0.0,0.5,36.0
9051,upwards,0.5,5,2,373455036275630,1.0,1.0,4,5,1.0,0.5,36.0
9052,upwards,0.5,5,2,477327368780915,1.0,1.0,4,5,1.0,0.5,36.0
9053,upwards,0.5,5,2,616876846241757,0.0,0.0,4,5,0.0,0.5,36.0
9054,upwards,0.5,6,2,841658927890285,0.0,0.0,4,5,0.0,0.5,37.0
9055,upwards,0.5,6,2,373455036275630,0.0,0.0,4,5,0.0,0.5,37.0
9056,upwards,0.5,6,2,477327368780915,1.0,1.0,4,5,1.0,0.5,37.0
9057,upwards,0.5,6,2,616876846241757,1.0,1.0,4,5,1.0,0.5,37.0
9058,upwards,0.5,7,2,841658927890285,0.0,0.0,4,5,0.0,0.5,38.0
9059,upwards,0.5,7,2,373455036275630,0.0,0.0,4,5,0.0,0.5,38.0
9060,upwards,0.5,7,2,477327368780915,1.0,1.0,4,5,1.0,0.5,38.0
9061,upwards,0.5,7,2,616876846241757,1.0,1.0,4,5,1.0,0.5,38.0
9062,upwards,0.5,8,2,841658927890285,0.0,0.0,4,5,0.0,0.5,39.0
9063,upwards,0.5,8,2,373455036275630,1.0,1.0,4,5,1.0,0.5,39.0
9064,upwards,0.5,8,2,477327368780915,1.0,1.0,4,5,1.0,0.5,39.0
9065,upwards,0.5,8,2,616876846241757,0.0,0.0,4,5,0.0,0.5,39.0
9066,upwards,0.5,9,2,841658927890285,0.0,0.0,4,5,0.0,0.5,40.0
9067,upwards,0.5,9,2,373455036275630,1.0,1.0,4,5,1.0,0.5,40.0
9068,upwards,0.5,9,2,477327368780915,0.0,0.0,4,5,0.0,0.5,40.0
9069,upwards,0.5,9,2,616876846241757,1.0,1.0,4,5,1.0,0.5,40.0
9070,upwards,0.5,10,2,841658927890285,1.0,1.0,4,5,1.0,0.5,41.0
9071,upwards,0.5,10,2,373455036275630,0.0,0.0,4,5,0.0,0.5,41.0
9072,upwards,0.5,10,2,477327368780915,0.0,0.0,4,5,0.0,0.5,41.0
9073,upwards,0.5,10,2,616876846241757,0.0,0.0,4,5,0.0,0.5,41.0
9074,upwards,0.5,11,2,841658927890285,1.0,-1.0,4,5,1.0,0.5,42.0
9075,upwards,0.5,11,2,373455036275630,0.0,0.0,4,5,0.0,0.5,42.0
9076,upwards,0.5,11,2,477327368780915,1.0,-1.0,4,5,1.0,0.5,42.0
9077,upwards,0.5,11,2,616876846241757,1.0,-1.0,4,5,1.0,0.5,42.0
9078,upwards,0.5,12,2,841658927890285,0.0,0.0,4,5,0.0,0.5,43.0
9079,upwards,0.5,12,2,373455036275630,1.0,1.0,4,5,1.0,0.5,43.0
9080,upwards,0.5,12,2,477327368780915,0.0,0.0,4,5,0.0,0.5,43.0
9081,upwards,0.5,12,2,616876846241757,0.0,0.0,4,5,0.0,0.5,43.0
9082,upwards,0.5,13,2,841658927890285,0.0,0.0,4,5,0.0,0.5,44.0
9083,upwards,0.5,13,2,373455036275630,0.0,0.0,4,5,0.0,0.5,44.0
9084,upwards,0.5,13,2,477327368780915,1.0,1.0,4,5,1.0,0.5,44.0
9085,upwards,0.5,13,2,616876846241757,1.0,1.0,4,5,1.0,0.5,44.0
9086,upwards,0.5,14,2,841658927890285,0.0,0.0,4,5,0.0,0.5,45.0
9087,upwards,0.5,14,2,373455036275630,1.0,1.0,4,5,1.0,0.5,45.0
9088,upwards,0.5,14,2,477327368780915,1.0,1.0,4,5,1.0,0.5,45.0
9089,upwards,0.5,14,2,616876846241757,0.0,0.0,4,5,0.0,0.5,45.0
9090,upwards,0.5,15,2,841658927890285,1.0,1.0,4,5,1.0,0.5,46.0
9091,upwards,0.5,15,2,373455036275630,0.0,0.0,4,5,0.0,0.5,46.0
9092,upwards,0.5,15,2,477327368780915,0.0,0.0,4,5,0.0,0.5,46.0
9093,upwards,0.5,15,2,616876846241757,1.0,1.0,4,5,1.0,0.5,46.0
9094,upwards,0.5,16,2,841658927890285,1.0,-1.0,4,5,1.0,0.5,47.0
9095,upwards,0.5,16,2,373455036275630,1.0,-1.0,4,5,1.0,0.5,47.0
9096,upwards,0.5,16,2,477327368780915,1.0,-1.0,4,5,1.0,0.5,47.0
9097,upwards,0.5,16,2,616876846241757,1.0,-1.0,4,5,1.0,0.5,47.0
9098,upwards,0.5,17,2,841658927890285,1.0,1.0,4,5,1.0,0.5,48.0
9099,upwards,0.5,17,2,373455036275630,1.0,1.0,4,5,1.0,0.5,48.0
9100,upwards,0.5,17,2,477327368780915,0.0,0.0,4,5,0.0,0.5,48.0
9101,upwards,0.5,17,2,616876846241757,0.0,0.0,4,5,0.0,0.5,48.0
9102,upwards,0.5,18,2,841658927890285,1.0,1.0,4,5,1.0,0.5,49.0
9103,upwards,0.5,18,2,373455036275630,1.0,1.0,4,5,1.0,0.5,49.0
9104,upwards,0.5,18,2,477327368780915,0.0,0.0,4,5,0.0,0.5,49.0
9105,upwards,0.5,18,2,616876846241757,0.0,0.0,4,5,0.0,0.5,49.0
9106,upwards,0.5,19,2,841658927890285,1.0,1.0,4,5,1.0,0.5,50.0
9107,upwards,0.5,19,2,373455036275630,0.0,0.0,4,5,0.0,0.5,50.0
9108,upwards,0.5,19,2,477327368780915,0.0,0.0,4,5,0.0,0.5,50.0
9109,upwards,0.5,19,2,616876846241757,0.0,0.0,4,5,0.0,0.5,50.0
9110,upwards,0.5,20,2,841658927890285,1.0,-1.0,4,5,1.0,0.5,51.0
9111,upwards,0.5,20,2,373455036275630,0.0,0.0,4,5,0.0,0.5,51.0
9112,upwards,0.5,20,2,477327368780915,1.0,-1.0,4,5,1.0,0.5,51.0
9113,upwards,0.5,20,2,616876846241757,1.0,-1.0,4,5,1.0,0.5,51.0
9114,upwards,0.5,21,2,841658927890285,1.0,-1.0,4,5,1.0,0.5,52.0
9115,upwards,0.5,21,2,373455036275630,1.0,-1.0,4,5,1.0,0.5,52.0
